#OTU ID	EA0101	EA0102	EA0103	EA0104	EA0105	EA0106	EA0107	EA0108	EA0109	EA0110	EA0111	EA0112	EA0113	EA0114	EA0115	EA0116	EA0117	EA0118	EA0119	EA0120	EA0121	EA0122	EA0123	EA0124	EA0125	EA0126	EA0127	EA0128	EA0129	EA0130	EA0131	EA0132	EA0133	EA0134	EA0135	EA0136	EA0137	EA0138	EA0139	EA0140	EA0141	EA0142	EA0143	EA0144	EA0145	EA0146	EA0147	EA0148	EA0149	EA0150	EA0151	EA0152	EA0153	EA0154	EA0155	EA0156	EA0157	EA0158	EA0159	EA0160	EA0161	EA0162	EA0163	EA0164	EA0165	EA0166	EA0167	EA0168	EA0169	EA0170	EA0171	EA0172	EA0173	EA0174	EA0175	EA0176	EA0177	EA0178	EA0179	EA0180	EA0181	EA0182	EA0183	EA0184	EA0185	EA0186	EA0187	EA0188	EA0189	EA0190	EA0191	EA0192	EA0193	EA0194	EA0195	EA0196
Zotu349	49	64	183	34	184	57	12	43	85	73	81	13	52	18	64	0	0	0	8	30	11	6	41	27	6	13	29	0	161	24	24	11	0	0	0	0	5	14	25	8	14	10	34	0	16	4	18	12	5	24	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	39	0	1	0	2	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3594	6	0	0	5	0	14	0	0	1	0	1	2	6	22	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	16	4	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Zotu372	22	21	45	35	10	9	12	21	32	10	6	3	18	52	59	0	0	0	9	12	9	4	6	15	18	1	6	8	16	14	32	77	0	0	0	0	16	35	23	23	33	45	60	1	22	44	4	39	50	71	256	66	25	70	3	2	6	0	5	6	12	9	0	0	0	1	0	1	0	7	1	3	0	0	0	1	0	1	3	0	2	0	1	1	5	2	12	1	1	0	0	0	0	0	0	0
Zotu4440	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu908	568	0	1	0	6	1	0	0	1	3	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0
Zotu485	52	6	182	2	120	141	50	18	273	120	2	0	3	0	17	0	0	0	17	2	5	0	34	11	25	1	41	78	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Zotu62	79	47	71	162	33	709	100	209	101	270	176	459	91	88	260	0	1	0	317	340	90	164	112	561	423	57	79	140	193	853	163	212	0	0	0	0	13	36	3	8	12	12	22	1	31	0	1	60	19	26	1	0	13	27	4	8	3	1	0	5	1	7	0	12	2	2	0	1	8	0	10	9	4	0	3	9	6	0	3	6	2	0	2	17	26	1	2	1	3	2	0	2	0	0	0	0
Zotu1983	33	49	0	0	46	57	0	3	9	3	4	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu2066	9	4	15	0	4	35	7	10	62	1	0	1	0	0	40	0	0	0	0	1	0	1	2	4	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu12	375	156	266	120	126	75	227	2601	196	97	38	130	27	108	74	0	0	1	8403	196	922	326	458	440	1574	263	180	378	47	438	77	232	0	0	0	0	124	255	83	190	106	108	37	2	82	83	131	168	88	245	6	40	364	19	12	9	4	6	3	3	7	4	7	1	1	0	1	4	1	5	0	12	9	2	8	4	17	2	33	21	6	1	5	7	11	8	7	6	8	5	0	6	0	0	0	0
Zotu40	52	1	21	1664	48	335	9	27	16	1097	140	610	1205	1897	303	0	0	22	11	3	174	1103	4	127	2	6	1	183	59	141	116	649	0	0	0	0	5	0	3	4	4	4	0	0	2	0	2	3	5	14	0	2	3	2	2	1	0	4	0	0	3	1	4	0	1	0	0	1	2	0	0	0	4	1	4	2	5	1	5	4	4	0	3	3	1	3	2	1	1	2	0	0	0	0	0	0
Zotu12798	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu112	191	315	388	46	441	335	139	115	456	245	158	107	59	71	103	0	0	0	93	143	17	3	313	52	75	56	119	110	179	77	40	23	0	0	0	0	8	16	0	1	2	6	0	0	9	6	3	5	9	9	1	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	2	0	5	1	1	2	0	2	5	3	1	1	4	2	2	1	3	3	2	1	1	1	0	2	0	0	0	0
Zotu1377	10	14	21	19	20	2	5	8	8	28	24	1	8	22	12	0	0	0	6	1	6	2	1	2	4	16	8	3	1	5	3	8	0	0	0	0	0	1	0	0	11	5	20	0	2	0	10	3	5	4	0	0	9	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
Zotu1289	30	5	34	0	20	25	8	3	75	0	1	6	0	0	6	0	0	0	23	2	18	0	20	30	0	0	44	12	0	0	0	3	0	0	0	0	0	1	0	0	4	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu2260	53	16	0	0	11	0	0	0	0	8	0	0	0	0	1	0	0	0	0	4	15	0	23	0	0	0	0	8	1	0	2	7	0	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1704	111	2	0	1	0	0	0	0	0	17	24	9	0	6	0	0	0	0	45	1	0	0	9	0	0	0	0	18	0	0	2	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	1	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1725	207	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	18	1	2	5	0	0	0	7	0	1	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0
Zotu950	12	2	3	1	16	101	14	7	33	6	6	12	1	2	277	0	0	0	6	8	0	0	0	19	8	6	9	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2340	7	19	2	0	14	31	8	2	25	7	0	0	1	0	17	0	0	0	2	2	0	0	3	5	0	0	16	8	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2226	58	28	3	0	5	5	4	0	10	5	0	1	1	1	8	0	0	0	3	7	0	0	0	1	0	0	1	0	1	12	1	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	5	0	0	4	0	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5416	3	9	0	5	5	2	0	0	5	10	0	1	4	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu44	331	166	627	440	374	221	266	234	506	300	241	62	286	244	117	0	72	0	120	237	209	229	96	429	116	120	231	245	90	88	587	399	0	0	0	0	61	90	88	62	81	134	93	8	112	25	38	139	104	100	18	91	83	23	17	36	6	8	3	0	7	1	2	1	2	0	0	12	7	0	1	2	2	1	11	6	3	3	3	3	3	5	2	2	1	6	1	4	1	0	0	0	0	0	0	0
Zotu942	10	70	5	67	23	0	13	3	33	71	13	3	14	5	16	0	0	0	0	11	4	15	90	4	2	12	0	10	10	24	24	9	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Zotu1619	11	26	29	0	22	26	2	8	16	17	6	0	4	2	8	0	0	0	11	12	3	1	32	11	6	3	9	0	7	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1039	60	1	114	0	5	112	3	0	13	0	2	78	2	0	41	0	0	0	34	0	5	0	0	26	5	5	7	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu563	407	341	5	0	1	11	15	28	18	14	1	70	4	17	14	0	0	0	14	7	2	0	0	1	5	23	3	0	0	7	4	3	0	0	0	0	0	1	0	0	3	1	0	0	8	0	0	8	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	3	0	1	1	0	0	0	0	0	4	0	0	0	0
Zotu435	238	28	5	8	0	10	18	33	42	44	3	10	3	20	2	0	0	0	32	206	26	1	5	13	48	204	15	101	13	67	23	52	0	0	0	0	4	10	0	6	1	12	0	0	1	0	0	11	10	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu273	75	26	209	45	46	108	38	22	92	35	37	125	24	19	89	0	0	0	53	21	33	22	144	131	72	13	39	46	112	104	25	57	0	0	0	0	1	7	3	7	4	1	5	0	76	13	4	16	34	13	1	1	6	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	1	9	0	0	1	1	1	1	4	0	1	1	1	2	1	0	0	2	1	0	0	0	0	0	0	0
Zotu1122	7	1	1	1	2	0	1	4	0	12	0	0	0	0	3	0	0	0	4	6	9	2	0	3	12	11	6	11	0	0	1	0	0	0	0	0	0	0	0	2	1	0	8	0	0	0	2	1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	51	0	0	1	1	17	0	66	160	1	0	1	19	0	22	1	0	0	0	0	1	0	0	0	0
Zotu692	802	1	6	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Zotu5	1105	438	169	929	154	403	778	235	243	640	814	1178	439	1122	1225	0	171	0	9572	2873	351	1472	1098	2776	1196	222	414	928	503	754	1752	1412	0	0	0	0	263	375	157	228	262	339	586	11	209	120	459	423	519	389	48	176	1177	256	95	64	115	63	20	39	37	247	3	20	6	11	50	2	36	186	1030	227	43	415	31	18	33	14	31	18	34	24	20	88	70	26	26	47	53	3	2	8	0	0	3	0
Zotu246	62	152	15	15	62	220	51	14	269	80	109	28	230	70	790	0	0	0	12	15	0	3	12	9	1	0	13	2	2	3	7	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	4	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2240	71	24	5	11	34	1	0	0	0	0	2	0	3	0	0	0	0	0	0	15	0	0	15	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
Zotu1291	17	8	43	1	54	83	19	4	10	10	0	11	2	2	78	0	0	0	14	0	0	1	5	14	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu81	629	591	420	118	255	48	77	119	240	298	233	20	116	77	25	0	84	0	88	423	29	70	59	185	396	171	110	70	252	6	144	160	0	0	0	0	1	1	0	2	4	6	0	0	7	0	1	5	6	6	0	2	4	1	4	0	0	3	0	0	2	2	0	0	1	0	0	2	3	0	0	34	2	1	2	4	7	0	18	0	5	0	0	0	2	2	4	10	3	0	0	5	0	0	0	0
Zotu282	68	199	138	12	279	76	13	50	146	67	117	73	44	26	88	0	57	0	16	50	3	9	149	17	38	23	27	36	80	26	35	3	0	0	0	0	1	7	0	3	4	1	9	0	5	0	2	0	8	6	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu1977	138	3	0	0	1	0	1	0	0	4	1	5	0	0	1	0	0	0	6	4	0	0	6	1	0	0	0	0	0	28	0	16	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu75	141	9	716	123	495	876	168	35	301	122	351	264	361	281	380	0	1	0	51	1	22	58	243	140	79	12	25	24	284	109	88	118	0	0	0	0	2	6	2	2	5	4	7	0	16	0	1	13	46	13	0	1	12	0	1	0	2	0	1	1	1	0	0	0	2	0	0	1	2	0	0	23	2	0	2	1	2	2	2	1	0	3	1	0	3	3	1	6	2	1	1	3	0	0	0	0
Zotu1538	27	12	0	0	0	0	65	27	0	0	0	2	1	1	0	0	0	0	4	0	0	0	0	0	91	5	0	0	0	35	0	0	0	0	0	0	0	0	0	7	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1415	134	0	16	4	1	1	14	52	26	48	9	3	0	0	0	0	0	0	19	0	0	0	5	0	0	5	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1686	26	11	18	4	15	4	8	5	18	3	2	3	5	0	5	0	0	0	4	11	1	3	9	28	3	7	4	6	0	0	4	6	0	0	0	0	0	0	0	0	0	16	0	0	6	0	0	1	3	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	3	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
Zotu4635	5	6	3	0	1	0	6	5	32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8857	1	0	0	4	0	3	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu432	267	8	11	0	2	0	14	2	7	122	2	13	0	0	25	0	0	0	213	26	0	6	1	7	8	13	4	132	0	0	5	0	0	0	0	0	11	167	0	0	6	0	17	0	29	2	22	8	3	3	41	11	0	0	2	10	6	0	0	0	0	0	0	0	1	1	0	1	1	1	0	102	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0
Zotu1190	39	139	8	12	0	0	7	14	0	0	12	4	5	0	0	0	1	0	6	33	13	48	2	0	23	13	12	0	1	3	0	2	0	0	0	0	0	1	0	3	0	1	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13	265	232	677	538	381	322	400	279	452	645	436	93	363	1035	291	0	204	0	172	360	1515	888	360	285	337	218	335	401	155	90	580	1170	0	0	0	0	51	102	128	83	558	316	40	6	141	35	341	345	317	580	890	284	702	557	65	69	35	49	14	0	64	52	23	84	30	47	54	256	228	53	89	7	11	0	11	10	26	4	20	10	16	16	13	7	34	20	24	20	33	1	1	4	0	0	0	0
Zotu1071	124	1	0	7	0	1	2	4	5	6	0	2	0	53	4	0	0	0	113	0	0	0	0	0	0	0	0	0	1	0	1	18	0	0	0	0	56	1	0	1	1	1	0	0	3	0	41	30	0	5	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu790	34	42	16	11	6	1	19	8	41	10	0	0	5	0	2	0	0	0	7	149	26	0	19	16	54	56	102	5	0	0	3	0	0	0	0	0	5	0	0	0	1	0	0	0	4	0	4	0	0	3	0	1	0	0	6	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	6	2	4	0	3	19	0	9	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu105	34	47	103	934	58	12	22	176	70	84	54	8	99	28	24	0	1	0	54	150	206	343	37	53	260	165	224	21	35	51	135	36	0	0	0	0	15	23	0	21	24	22	52	1	6	25	7	18	30	24	0	0	33	0	6	6	1	5	0	11	1	8	2	0	0	0	0	7	3	0	0	29	3	9	4	183	603	0	23	18	11	42	1	7	8	7	3	45	7	1	0	0	0	0	0	0
Zotu3801	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1188	85	49	0	0	1	0	2	0	3	52	0	7	0	2	42	0	0	0	10	26	0	0	1	0	0	0	8	4	0	3	0	3	0	0	0	0	1	0	1	0	5	16	0	0	8	5	0	14	16	45	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
